constructorResultsId,raceId,constructorId,points,status
239,40,12,0,1
240,41,1,12,D
241,41,2,8,1
242,41,3,6,1
243,41,4,5,1
244,41,6,4,1
245,41,8,3,1
246,41,7,1,1
247,41,9,0,1
248,41,11,0,1
249,41,5,0,1
250,41,12,0,1
251,42,1,18,D
252,42,6,11,1
253,42,4,4,1
254,42,7,3,1
255,42,9,2,1
256,42,2,1,1
257,42,3,0,1
258,42,8,0,1
259,42,11,0,1
260,42,5,0,1
261,42,12,0,1
262,43,6,18,1
263,43,1,8,D
264,43,2,9,1
265,43,4,3,1
266,43,11,1,1
267,43,3,0,1
268,43,7,0,1
269,43,9,0,1
270,43,8,0,1
271,43,12,0,1
272,43,5,0,1
273,44,6,14,1
274,44,1,14,D
275,44,2,8,1
276,44,4,3,1
277,44,11,0,1
278,44,9,0,1
279,44,3,0,1
280,44,8,0,1
281,44,12,0,1
282,44,5,0,1
283,44,7,0,1
284,45,1,10,D
285,45,6,8,1
286,45,9,10,1
287,45,3,5,1
288,45,2,5,1
289,45,4,1,1
290,45,11,0,1
291,45,8,0,1
292,45,7,0,1
293,45,12,0,1
294,45,5,0,1
295,46,1,15,D
296,46,6,8,1
297,46,2,10,1
298,46,7,3,1
299,46,3,2,1
300,46,4,1,1
301,46,9,0,1
302,46,8,0,1
303,46,5,0,1
304,46,12,0,1
305,46,11,0,1
306,47,6,18,1
307,47,1,10,D
308,47,2,6,1
309,47,4,3,1
310,47,3,2,1
311,47,9,0,1
312,47,7,0,1
313,47,11,0,1
314,47,8,0,1
315,47,5,0,1
316,47,12,0,1
317,48,1,18,D
318,48,6,6,1
319,48,2,9,1
320,48,3,3,1
321,48,4,2,1
322,48,11,1,1
323,48,9,0,1
324,48,7,0,1
325,48,8,0,1
326,48,5,0,1
327,48,12,0,1
328,49,6,18,1
329,49,1,11,D
330,49,2,4,1
331,49,3,3,1
332,49,9,2,1
333,49,4,1,1
334,49,7,0,1
335,49,5,0,1
336,49,11,0,1
337,49,12,0,1
338,49,8,0,1
339,50,1,10,D
340,50,4,12,1
341,50,6,9,1
342,50,9,5,1
343,50,2,2,1
344,50,12,1,1
345,50,5,0,1
346,50,11,0,1
347,50,7,0,1
348,50,8,0,1
349,50,3,0,1
350,51,6,16,1
351,51,1,8,D
352,51,5,8,1
353,51,11,4,1
354,51,2,2,1
355,51,9,1,1
356,51,4,0,1
357,51,3,0,1
358,51,7,0,1
359,51,8,0,1
360,51,12,0,1
361,52,6,18,1
362,52,1,8,D
363,52,3,5,1
364,52,2,7,1
365,52,7,1,1
366,52,9,0,1
367,52,8,0,1
368,52,5,0,1
369,52,12,0,1
370,52,11,0,1
371,52,4,0,1
372,53,4,10,1
373,53,6,8,1
374,53,1,10,1
375,53,11,5,1
376,53,3,5,1
377,53,9,1,1
378,53,5,0,1
379,53,2,0,1
380,53,7,0,1
381,53,13,0,1
382,53,8,0,1
383,54,4,18,1
384,54,11,6,1
385,54,1,5,1
386,54,6,7,1
387,54,2,2,1
388,54,7,1,1
389,54,5,0,1
390,54,13,0,1
391,54,8,0,1
392,54,9,0,1
393,54,3,0,1
394,55,4,14,1
395,55,1,8,1
396,55,7,6,1
397,55,2,8,1
398,55,11,2,1
399,55,9,1,1
400,55,5,0,1
401,55,13,0,1
402,55,8,0,1
403,55,6,0,1
404,55,3,0,1
405,56,6,15,1
406,56,4,9,1
407,56,1,10,1
408,56,3,3,1
409,56,11,2,1
410,56,7,0,1
411,56,2,0,1
412,56,5,0,1
413,56,13,0,1
414,56,9,0,1
415,56,8,0,1
416,57,6,16,1
417,57,4,11,1
418,57,1,5,1
419,57,11,4,1
420,57,3,2,1
421,57,2,1,1
422,57,7,0,1
423,57,5,0,1
424,57,13,0,1
425,57,8,0,1
426,57,9,0,1
427,58,4,16,1
428,58,6,13,1
429,58,1,4,1
430,58,11,5,1
431,58,2,1,1
432,58,3,0,1
433,58,7,0,1
434,58,9,0,1
435,58,5,0,1
436,58,13,0,1
437,58,8,0,1
438,59,4,13,1
439,59,1,8,1
440,59,9,6,1
441,59,11,5,1
442,59,6,4,1
443,59,2,2,1
444,59,7,1,1
445,59,5,0,1
446,59,13,0,1
447,59,8,0,1
448,59,3,0,1
449,60,4,15,1
450,60,6,12,1
451,60,1,9,1
452,60,2,3,1
453,60,3,0,1
454,60,11,0,1
455,60,7,0,1
456,60,9,0,1
457,60,5,0,1
458,60,13,0,1
459,60,8,0,1
460,61,4,15,1
461,61,6,12,1
462,61,1,6,1
463,61,7,3,1
464,61,2,2,1
465,61,9,1,1
466,61,11,0,1
